nodedef> name VARCHAR,label VARCHAR,width DOUBLE,height DOUBLE,x DOUBLE,y DOUBLE
5288126d3f8c4_5288126d3f8c4,5288126d3f8c4,NaN,NaN,0.18743132,0.9479454
5288126d711a1_5288126d711a1,5288126d711a1,NaN,NaN,0.19737452,0.93550646
5288126d98a5a_5288126d98a5a,5288126d98a5a,NaN,NaN,0.0063291453,0.7934262
5288126db206e_5288126db206e,5288126db206e,NaN,NaN,0.05758032,0.7690137
5288126dc1293_5288126dc1293,5288126dc1293,NaN,NaN,0.10467622,0.885191
5288126ddef0d_5288126ddef0d,5288126ddef0d,NaN,NaN,0.22463396,0.9777679
5288126df371a_5288126df371a,5288126df371a,NaN,NaN,0.28246158,0.9770898
5288126e0df30_5288126e0df30,5288126e0df30,NaN,NaN,0.041542064,0.76996434
5288126e2c374_5288126e2c374,5288126e2c374,NaN,NaN,0.2206103,0.9239739
5288126e3677e_5288126e3677e,5288126e3677e,NaN,NaN,0.04663036,0.79698056
5288126e4079b_5288126e4079b,5288126e4079b,NaN,NaN,0.06423777,0.7929677
5288126e5923e_5288126e5923e,5288126e5923e,NaN,NaN,0.22666696,0.9509956
5288126e63de9_5288126e63de9,5288126e63de9,NaN,NaN,0.25574854,0.91493946
5288126e82de6_5288126e82de6,5288126e82de6,NaN,NaN,0.021586085,0.789052
5288126e8d1ed_5288126e8d1ed,5288126e8d1ed,NaN,NaN,0.19182111,0.9713638
5288126ea7b9e_5288126ea7b9e,5288126ea7b9e,NaN,NaN,0.17421655,0.94448084
5288126ee6f23_5288126ee6f23,5288126ee6f23,NaN,NaN,0.2427749,0.9532308
5288126f27879_5288126f27879,5288126f27879,NaN,NaN,0.121363565,0.80985016
5288126f56e20_5288126f56e20,5288126f56e20,NaN,NaN,0.29304615,0.96697
5288126f8c184_5288126f8c184,5288126f8c184,NaN,NaN,0.07210161,0.7758416
5288126fa09be_5288126fa09be,5288126fa09be,NaN,NaN,0.22604515,0.996869
5288126fbb72c_5288126fbb72c,5288126fbb72c,NaN,NaN,0.26636526,0.979492
5288126fc0d17_5288126fc0d17,5288126fc0d17,NaN,NaN,0.26370454,0.99758995
5288126ff02bb_5288126ff02bb,5288126ff02bb,NaN,NaN,0.03295507,0.7436876
5288127037d58_5288127037d58,5288127037d58,NaN,NaN,0.24278761,0.9344934
5288127074db6_5288127074db6,5288127074db6,NaN,NaN,0.286941,0.953511
528812708a94c_528812708a94c,528812708a94c,NaN,NaN,0.23383382,0.9669837
52881270a1482_52881270a1482,52881270a1482,NaN,NaN,0.2729672,0.952495
52881270ac442_52881270ac442,52881270ac442,NaN,NaN,0.065144025,0.7324295
52881270d3520_52881270d3520,52881270d3520,NaN,NaN,0.05553934,0.7528062
5288127137c95_5288127137c95,5288127137c95,NaN,NaN,0.05209052,0.78276324
52881271428aa_52881271428aa,52881271428aa,NaN,NaN,0.25880426,0.9387669
52881271750d4_52881271750d4,52881271750d4,NaN,NaN,0.045559384,0.7439955
52881271a17a0_52881271a17a0,52881271a17a0,NaN,NaN,0.043232393,0.7304857
52881271b213b_52881271b213b,52881271b213b,NaN,NaN,0.20982262,0.9847195
52881271b7728_52881271b7728,52881271b7728,NaN,NaN,0.25766498,0.95636415
52881271c849a_52881271c849a,52881271c849a,NaN,NaN,0.25285256,0.9842972
52881271cde6d_52881271cde6d,52881271cde6d,NaN,NaN,0.2660585,0.96689767
52881271ef959_52881271ef959,52881271ef959,NaN,NaN,0.27782524,0.9661379
52881272010f4_52881272010f4,52881272010f4,NaN,NaN,0.27622163,0.9388087
528812721d215_528812721d215,528812721d215,NaN,NaN,0.010777491,0.7644787
5288127238f55_5288127238f55,5288127238f55,NaN,NaN,0.036760543,0.782868
528812726b7ed_528812726b7ed,528812726b7ed,NaN,NaN,0.026828438,0.76456237
528812727c536_528812727c536,528812727c536,NaN,NaN,0.0,0.77529335
52881272878de_52881272878de,52881272878de,NaN,NaN,0.2494345,0.97020286
52881272c510a_52881272c510a,52881272c510a,NaN,NaN,0.23801164,0.9846988
52881272e1647_52881272e1647,52881272e1647,NaN,NaN,0.06769422,0.7486909
52881272ec5d2_52881272ec5d2,52881272ec5d2,NaN,NaN,0.17560044,0.92849654
528812732469f_528812732469f,528812732469f,NaN,NaN,0.08275375,0.7619473
5288127329881_5288127329881,5288127329881,NaN,NaN,0.020151764,0.7760057
52881273e2101_52881273e2101,52881273e2101,NaN,NaN,0.025019579,0.72947305
52881273eccd8_52881273eccd8,52881273eccd8,NaN,NaN,0.27865624,0.9905215
528812740e247_528812740e247,528812740e247,NaN,NaN,0.24694268,1.0
528812741383a_528812741383a,528812741383a,NaN,NaN,0.021740021,0.7509056
528812742e5cc_528812742e5cc,528812742e5cc,NaN,NaN,0.038771108,0.7565542
52881274391a5_52881274391a5,52881274391a5,NaN,NaN,0.18484426,0.675602
52881274640ff_52881274640ff,52881274640ff,NaN,NaN,0.08334398,0.79051095
5288127494649_5288127494649,5288127494649,NaN,NaN,0.006966622,0.7480251
528812753719d_528812753719d,528812753719d,NaN,NaN,0.21484126,0.96685606
52881275a81d9_52881275a81d9,52881275a81d9,NaN,NaN,0.20049363,0.9539024
5288126c79727_5288126c79727,5288126c79727,NaN,NaN,0.9180359,0.4215545
5288126c823db_5288126c823db,5288126c823db,NaN,NaN,0.89549696,0.5427025
5288126c86a14_5288126c86a14,5288126c86a14,NaN,NaN,0.90269965,0.44876733
5288126cba620_5288126cba620,5288126cba620,NaN,NaN,0.56940556,0.6163693
5288126cc423a_5288126cc423a,5288126cc423a,NaN,NaN,0.89777684,0.48728243
5288126cc9059_5288126cc9059,5288126cc9059,NaN,NaN,0.8882008,0.43440917
5288126ccda89_5288126ccda89,5288126ccda89,NaN,NaN,0.5978105,0.39732033
5288126cd6ef2_5288126cd6ef2,5288126cd6ef2,NaN,NaN,0.72835946,0.29844013
5288126cee9c6_5288126cee9c6,5288126cee9c6,NaN,NaN,0.85992855,0.5130145
5288126d095c4_5288126d095c4,5288126d095c4,NaN,NaN,0.52107596,0.46330842
5288126d262ba_5288126d262ba,5288126d262ba,NaN,NaN,0.8394748,0.47971743
5288126d44ac8_5288126d44ac8,5288126d44ac8,NaN,NaN,0.91509086,0.47476694
5288126d58338_5288126d58338,5288126d58338,NaN,NaN,0.92025834,0.45659226
5288126d61f91_5288126d61f91,5288126d61f91,NaN,NaN,0.50464827,0.47300017
5288126d66d96_5288126d66d96,5288126d66d96,NaN,NaN,0.8642788,0.4750231
5288126d8ee0c_5288126d8ee0c,5288126d8ee0c,NaN,NaN,0.92610854,0.53970087
5288126dcfce6_5288126dcfce6,5288126dcfce6,NaN,NaN,0.5559883,0.37397334
5288126dd4b1d_5288126dd4b1d,5288126dd4b1d,NaN,NaN,1.0,0.4293509
5288126de410d_5288126de410d,5288126de410d,NaN,NaN,0.85267025,0.3966412
5288126de9312_5288126de9312,5288126de9312,NaN,NaN,0.89111966,0.36990407
5288126e1cd69_5288126e1cd69,5288126e1cd69,NaN,NaN,0.67484236,0.36529216
5288126e455d2_5288126e455d2,5288126e455d2,NaN,NaN,0.55943847,0.47166184
5288126e4a3d6_5288126e4a3d6,5288126e4a3d6,NaN,NaN,0.8519099,0.42751494
5288126e6e5d5_5288126e6e5d5,5288126e6e5d5,NaN,NaN,0.827075,0.43684295
5288126e737dc_5288126e737dc,5288126e737dc,NaN,NaN,0.8682749,0.45041582
5288126e78dc5_5288126e78dc5,5288126e78dc5,NaN,NaN,0.6872391,0.47536525
5288126e7dbe3_5288126e7dbe3,5288126e7dbe3,NaN,NaN,0.616381,0.55486834
5288126e9cff4_5288126e9cff4,5288126e9cff4,NaN,NaN,0.9357879,0.48180744
5288126ed7147_5288126ed7147,5288126ed7147,NaN,NaN,0.5174644,0.5503705
5288126ef1363_5288126ef1363,5288126ef1363,NaN,NaN,0.7019896,0.40819752
5288126f0230d_5288126f0230d,5288126f0230d,NaN,NaN,0.48807275,0.47375596
5288126f078da_5288126f078da,5288126f078da,NaN,NaN,0.709146,0.45755664
5288126f226a0_5288126f226a0,5288126f226a0,NaN,NaN,0.5047293,0.54521513
5288126f36e83_5288126f36e83,5288126f36e83,NaN,NaN,0.91917264,0.50533175
5288126f46c5c_5288126f46c5c,5288126f46c5c,NaN,NaN,0.648534,0.37814292
5288126f9658d_5288126f9658d,5288126f9658d,NaN,NaN,0.7681801,0.42175058
5288126fb6142_5288126fb6142,5288126fb6142,NaN,NaN,0.6755537,0.4537403
5288126fc5f1e_5288126fc5f1e,5288126fc5f1e,NaN,NaN,0.48891017,0.44321626
5288126fd0326_5288126fd0326,5288126fd0326,NaN,NaN,0.79482377,0.3084429
5288126fe56ea_5288126fe56ea,5288126fe56ea,NaN,NaN,0.625497,0.50521374
5288127007041_5288127007041,5288127007041,NaN,NaN,0.7532088,0.31828085
528812700c62c_528812700c62c,528812700c62c,NaN,NaN,0.55256206,0.5142234
528812702c9ad_528812702c9ad,528812702c9ad,NaN,NaN,0.87843174,0.4098173
528812703d72b_528812703d72b,528812703d72b,NaN,NaN,0.57665884,0.43418887
52881270486ea_52881270486ea,52881270486ea,NaN,NaN,0.6059336,0.4027211
5288127069a14_5288127069a14,5288127069a14,NaN,NaN,0.92070943,0.38591403
528812706f3e3_528812706f3e3,528812706f3e3,NaN,NaN,0.4840263,0.45685306
5288127095cfb_5288127095cfb,5288127095cfb,NaN,NaN,0.5030718,0.46109354
528812710021f_528812710021f,528812710021f,NaN,NaN,0.6170202,0.5214299
5288127110ba9_5288127110ba9,5288127110ba9,NaN,NaN,0.5483401,0.40287805
52881271161e1_52881271161e1,52881271161e1,NaN,NaN,0.6512392,0.3080938
528812712c8ed_528812712c8ed,528812712c8ed,NaN,NaN,0.53921133,0.41943488
528812714823c_528812714823c,528812714823c,NaN,NaN,0.47931308,0.40559232
52881271535e2_52881271535e2,52881271535e2,NaN,NaN,0.5304637,0.49267143
528812716f703_528812716f703,528812716f703,NaN,NaN,0.55256236,0.4932365
528812718b054_528812718b054,528812718b054,NaN,NaN,0.6574936,0.40872362
528812719bdce_528812719bdce,528812719bdce,NaN,NaN,0.85096776,0.58138853
5288127217843_5288127217843,5288127217843,NaN,NaN,0.59485394,0.40504178
528812723e922_528812723e922,528812723e922,NaN,NaN,0.6151376,0.37872225
52881272442f5_52881272442f5,52881272442f5,NaN,NaN,0.50540906,0.49834582
5288127260416_5288127260416,5288127260416,NaN,NaN,0.52034235,0.50082463
5288127265de8_5288127265de8,5288127265de8,NaN,NaN,0.56846935,0.62394464
5288127276b86_5288127276b86,5288127276b86,NaN,NaN,0.5132584,0.48785564
5288127281f0a_5288127281f0a,5288127281f0a,NaN,NaN,0.5369681,0.47556955
52881272caadd_52881272caadd,52881272caadd,NaN,NaN,0.5018289,0.48404613
52881272e6fe8_52881272e6fe8,52881272e6fe8,NaN,NaN,0.89187664,0.50483626
5288127313ce4_5288127313ce4,5288127313ce4,NaN,NaN,0.51701015,0.4775376
528812733a20b_528812733a20b,528812733a20b,NaN,NaN,0.8938798,0.4714748
528812733fc48_528812733fc48,528812733fc48,NaN,NaN,0.5358432,0.45410454
528812734af8f_528812734af8f,528812734af8f,NaN,NaN,0.9454621,0.45328617
52881273762ca_52881273762ca,52881273762ca,NaN,NaN,0.68812364,0.5857963
5288127381289_5288127381289,5288127381289,NaN,NaN,0.6632789,0.43475834
528812739c40b_528812739c40b,528812739c40b,NaN,NaN,0.7490104,0.36964247
52881273a6fe2_52881273a6fe2,52881273a6fe2,NaN,NaN,0.63413846,0.4382431
52881273ac5fd_52881273ac5fd,52881273ac5fd,NaN,NaN,0.7092193,0.5894359
52881273b1bb9_52881273b1bb9,52881273b1bb9,NaN,NaN,0.634026,0.4815791
52881273d7524_52881273d7524,52881273d7524,NaN,NaN,0.8156752,0.37488064
52881274239f5_52881274239f5,52881274239f5,NaN,NaN,0.6632272,0.50673914
5288127449366_5288127449366,5288127449366,NaN,NaN,0.7514752,0.49909246
528812745952e_528812745952e,528812745952e,NaN,NaN,0.755984,0.53458554
52881274798ae_52881274798ae,52881274798ae,NaN,NaN,0.9508416,0.49806127
